responseid,q27,q52,q53,q31,q35,q58,student_level,aware_alternative_pathway,current_or_planned_grad_enrollment,reduced_grad_degree_interest
R_7gA9XeLugaIDcdh,Undergraduate,No change in desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,0
R_3kgIn7Oqegqi1Zr,Graduate,,,No,Extremely likely,MAcc,Graduate,No,Currently enrolled (graduate respondent),0
R_6tu0rnNBHgIcfUi,Undergraduate,Decreased desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,1
R_3ZANqjnT7gqVn4B,Undergraduate,No change in desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,0
R_6cbpSldJvenAB0J,Graduate,,,No,Somewhat likely,MAcc,Graduate,No,Currently enrolled (graduate respondent),0
R_6Xr7Eb7O6X6KjWF,Undergraduate,Increased desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,0
R_6nqJn8ZXvzGkxM6,Undergraduate,Increased desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,0
R_6UA2eWS3zKFs5X3,Graduate,,,No,Somewhat likely,MAcc,Graduate,No,Currently enrolled (graduate respondent),0
R_1iBDHbKAxsXMIRr,Undergraduate,No change in desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,0
R_3cuegQhGcWTW8xF,Graduate,,,No,Extremely likely,MAcc,Graduate,No,Currently enrolled (graduate respondent),0
R_6HMS39jagWhCU71,Undergraduate,No change in desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,0
R_6uWWHkKPiq2Iq2y,Undergraduate,No change in desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,0
R_5rrbvCgsMBPvYuB,Graduate,,,Yes,,MAcc,Graduate,Yes,Currently enrolled (graduate respondent),
R_7GrDMrBs0GWzikF,Graduate,,,No,Extremely unlikely,MAcc,Graduate,No,Currently enrolled (graduate respondent),1
R_1z712iMZ4iAExsY,Graduate,,,No,Neither likely nor unlikely,MAcc,Graduate,No,Currently enrolled (graduate respondent),0
R_7Cuijs0Ie5Srmwh,Graduate,,,Yes,,MAcc,Graduate,Yes,Currently enrolled (graduate respondent),
R_5CHhXMx6LtoP2O7,Graduate,,,No,Somewhat unlikely,MAcc,Graduate,No,Currently enrolled (graduate respondent),1
R_6j92ac2no6sbipj,Graduate,,,No,Extremely likely,MAcc,Graduate,No,Currently enrolled (graduate respondent),0
R_89yBtjlGzZ1sOmB,Graduate,,,No,Extremely likely,MAcc,Graduate,No,Currently enrolled (graduate respondent),0
R_5i9V36d2Ns4JTa1,Undergraduate,No change in desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,0
R_7kLZINbfMOte5Ih,Graduate,,,Yes,,MAcc,Graduate,Yes,Currently enrolled (graduate respondent),
R_131ByATvHJ0wjF7,Undergraduate,Increased desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,0
R_5TpHNJOfPF59J4l,Undergraduate,Increased desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,0
R_7MtjvUMPOe8ULxv,Undergraduate,Increased desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,0
R_14Gz4Pim6Rzk8kF,Graduate,,,Yes,,MAcc,Graduate,Yes,Currently enrolled (graduate respondent),
R_3dQOGQDUZIqxSFS,Undergraduate,Increased desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,0
R_69bfGX3LeY5nk0F,Undergraduate,Increased desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,0
R_6LjwkLGojEH4oB1,Undergraduate,No change in desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,0
R_5A07lIFffHfOUGx,Graduate,,,No,Extremely likely,MAcc,Graduate,No,Currently enrolled (graduate respondent),0
R_7exJkNeIPVrotg5,Undergraduate,No change in desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,0
R_6wDgzM4Dd5W2Scx,Graduate,,,No,Somewhat likely,Other,Graduate,No,Currently enrolled (graduate respondent),0
R_614QHnpYIBVTTom,Undergraduate,Decreased desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,1
R_30cuL1PciMAHT0N,Graduate,,,Yes,,MAcc,Graduate,Yes,Currently enrolled (graduate respondent),
R_6QqO6rppqFFxBYd,Undergraduate,No change in desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,0
R_71F43FcU1mnAHLQ,Graduate,,,No,Neither likely nor unlikely,MAcc,Graduate,No,Currently enrolled (graduate respondent),0
R_3MyCKMFKh3g3HdS,Undergraduate,Increased desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,0
R_1lhpHCuIFUgg1Q9,Undergraduate,Increased desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,0
R_6yqk8TZS9zfHnTK,Graduate,,,No,Extremely likely,MAcc,Graduate,No,Currently enrolled (graduate respondent),0
R_6LT3Gk0VT0UiFiJ,Undergraduate,Significantly decreased desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,1
R_3s6uMkFIlAOTB8Z,Graduate,,,No,Neither likely nor unlikely,MAcc,Graduate,No,Currently enrolled (graduate respondent),0
R_7ZH97eZAKdTtIel,Undergraduate,Increased desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,0
R_3N86Y1mmTnLwsfo,Undergraduate,No change in desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,0
R_7Bnivr28G301zui,Undergraduate,No change in desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,0
R_1nZRoQoKmAExiMd,Graduate,,,Yes,,MAcc,Graduate,Yes,Currently enrolled (graduate respondent),
R_7fa7ayrLPwKvP91,Undergraduate,No change in desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,0
R_1lyQoNeFmRV18Kw,Undergraduate,No change in desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,0
R_6hi7BgvZC7xGa1n,Undergraduate,No change in desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,0
R_5L6DnOn3NSCVkoV,Graduate,,,No,Extremely likely,MAcc,Graduate,No,Currently enrolled (graduate respondent),0
R_6zuRu89GbBubf0m,Undergraduate,No change in desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,0
R_1CHJqoOKeVUosZv,Undergraduate,Increased desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,0
R_3z5BoGoAaluWPz6,Undergraduate,Increased desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,0
R_6rTw7kleugtvyRX,Undergraduate,No change in desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,0
R_1JWOTQoZdqyt8vY,Undergraduate,Decreased desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,1
R_1mU7CV1Gfan2vj4,Graduate,,,No,Extremely likely,MAcc,Graduate,No,Currently enrolled (graduate respondent),0
R_5lrYtCqcvwBAYPz,Graduate,,,No,Neither likely nor unlikely,,Graduate,No,Currently enrolled (graduate respondent),0
R_3Y9BITnEhvDZkX4,Undergraduate,No change in desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,0
R_5Cd5zY5aAgCV42w,Graduate,,,No,Extremely likely,MAcc,Graduate,No,Currently enrolled (graduate respondent),0
R_3uRO4AT7vfhpdrH,Undergraduate,Increased desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,0
R_1N91YpTAWVR4rEA,Undergraduate,Increased desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,0
R_5xL6TIcL52y45Hk,Undergraduate,No change in desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,0
R_3WYti0ehYutqcrn,Undergraduate,Significantly decreased desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,1
R_1dK9HbPhYs1nD7y,Undergraduate,Significantly decreased desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,1
R_6mPSxVFwjwU0OPL,Undergraduate,No change in desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,0
R_1rNDQff5HYjfxOI,Undergraduate,Significantly decreased desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,1
R_6dyQogMf1B7T5vN,Undergraduate,No change in desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,0
R_5raU1ZDrx7Wirlv,Undergraduate,Increased desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,0
R_5M35uhYR5g7JbpF,Undergraduate,Increased desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,0
R_1k1Ea79NE0lMzOz,Undergraduate,Decreased desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,1
R_7OoY8gn6sH1WThM,Undergraduate,Decreased desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,1
R_1VshO9I1cuPnV2n,Undergraduate,Decreased desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,1
R_7kcRhVytsywvnmq,Undergraduate,Increased desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,0
R_1gLxIXBBOcAk44k,,,,,,,,,Missing,
R_6OmkqSxRM6d1RSx,Undergraduate,Increased desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,0
R_5OpjJEqky6zGaco,Undergraduate,No change in desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,0
R_76AooNALNYTD1S1,Undergraduate,No change in desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,0
R_1O8KKay4DhXGD1w,Undergraduate,Decreased desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,1
R_5MluDDaR7dk0BO1,Undergraduate,No change in desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,0
R_7P89TsGDb0OaVMA,Undergraduate,Significantly increased desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,0
R_5oiOyKcWE9ZLHdx,Undergraduate,Increased desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,0
R_6Kr9TWgZdzGS1hc,Undergraduate,No change in desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,0
R_3ve8G1z8BHxqDX4,Undergraduate,No change in desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,0
R_1thY64cWSvtYhIl,Undergraduate,Decreased desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,1
R_6dv49CSmw86lOcF,Undergraduate,No change in desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,0
R_51zF4IsKHJuZedr,Undergraduate,Decreased desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,1
R_6uQcwNpE6xXehsZ,Undergraduate,Increased desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,0
R_1rPKdKwto9rFNkJ,Undergraduate,No change in desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,0
R_1SwtBN2bf0OBqAV,Graduate,,,No,Extremely likely,MAcc,Graduate,No,Currently enrolled (graduate respondent),0
R_7Nbnar8q7BzLn5R,Undergraduate,No change in desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,0
R_3bQrfELRgMzbWn7,Undergraduate,No change in desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,0
R_7qtYmUOC46gRqr7,Undergraduate,Decreased desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,1
R_1IcUkIHTPXoCAew,Undergraduate,No change in desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,0
R_7gZ3V4BT4uSLtpq,Undergraduate,Decreased desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,1
R_3I3lnubMoeOpay6,Undergraduate,Decreased desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,1
R_1AroIGkG1Mso413,Undergraduate,Significantly decreased desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,1
R_7ImvRDraQ7CYg0h,Undergraduate,Significantly increased desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,0
R_3KvnR6SeuGK7MAN,Undergraduate,No change in desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,0
R_6jdw4AdxOAa3ENb,Undergraduate,No change in desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,0
R_3LNLDiEPJozV0CG,Undergraduate,Decreased desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,1
R_7NhlkXU1tPAiYGE,Undergraduate,Decreased desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,1
R_7ma6PBSbI6T8gnn,Undergraduate,Decreased desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,1
R_1e9bsjTiUlAbEr3,Undergraduate,No change in desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,0
R_3eVQe7HrlloQBXI,Undergraduate,Decreased desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,1
R_5b3hGQgI1uLQufg,Undergraduate,Significantly decreased desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,1
R_33rZd4rHxfy6Jt7,Undergraduate,No change in desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,0
R_7XbNTduaaPbNv3F,Undergraduate,No change in desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,0
R_639CNGnNwVkLi1P,Undergraduate,Significantly decreased desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,1
R_5VOzYlNL9Hpn3ZO,Undergraduate,Decreased desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,1
R_57p1XQL7d15OxG2,Undergraduate,No change in desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,0
R_1cwEP9znfQGz05j,Undergraduate,Decreased desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,1
R_3DZ2l4lLnZBOkdA,Undergraduate,Increased desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,0
R_7HA9z5RzYydgaMV,Undergraduate,Decreased desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,1
R_7vO50bCmbQY2TUR,Undergraduate,Increased desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,0
R_13D6pRRWo52y1JT,Undergraduate,No change in desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,0
R_3OQiEFsuv9kFew1,Undergraduate,No change in desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,0
R_51sWOtpIzuPy8CP,Graduate,,,No,Extremely likely,MBA,Graduate,No,Currently enrolled (graduate respondent),0
R_6dXyRDyohfN2eVw,Undergraduate,No change in desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,0
R_5N22z3lELj8yAJL,Undergraduate,Decreased desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,1
R_5AJ9heALTUO6cWB,Undergraduate,No change in desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,0
R_30ZrxPGaM1uW7B0,Undergraduate,No change in desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,0
R_1EQZ9m3A6j93SZL,Undergraduate,Significantly decreased desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,1
R_3ftQ8rJ7L8g0QXT,Undergraduate,Significantly increased desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,0
R_6ty4Fatu3dF3xS3,Undergraduate,No change in desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,0
R_1UnPprer9HqAYEh,Undergraduate,Decreased desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,1
R_6CouwK7XnhMIFxL,Undergraduate,No change in desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,0
R_5c2bevaJZSElbny,Undergraduate,Significantly decreased desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,1
R_6mh6gRuKeLvwGW8,Graduate,,,No,Somewhat unlikely,MAcc,Graduate,No,Currently enrolled (graduate respondent),1
R_3imQO8knGfjBrF4,Undergraduate,No change in desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,0
R_6M4i1OwMC7WplTC,Graduate,,,No,Extremely likely,MAcc,Graduate,No,Currently enrolled (graduate respondent),0
R_1fW9UPjYbxd30ob,Undergraduate,Significantly increased desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,0
R_7MSftSauLSQcP3M,Undergraduate,Decreased desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,1
R_1N7uJV1QboYzfkl,Undergraduate,No change in desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,0
R_1dcM6ML3EZELnu9,Undergraduate,Decreased desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,1
R_1EKGfiLB2ITY2MF,Undergraduate,Decreased desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,1
R_6pXhbRcHp2nNI2b,Undergraduate,Decreased desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,1
R_1RfjuWVq1VtMEiB,,,,,,,,,Missing,
R_5j2sIgndoQLG9ek,Undergraduate,No change in desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,0
R_6R8YiP17dX6Hkwe,Undergraduate,Significantly decreased desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,1
R_6amd27NJX4auaiL,Undergraduate,Decreased desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,1
R_3YtFv5hF5mBsm8F,Undergraduate,No change in desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,0
R_7gREnmmn9YoskhM,Undergraduate,Decreased desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,1
R_6Yx4zApTPOXEkzH,Undergraduate,No change in desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,0
R_7xpAEHl362viAwx,Undergraduate,Increased desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,0
R_7PhT2FLtbgxgWpj,Undergraduate,Decreased desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,1
R_1P7AILzeDEg7NAL,Undergraduate,Significantly decreased desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,1
R_66sQ899Jkxjgbuh,Undergraduate,Decreased desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,1
R_1NFiYo2Vef8Wa81,Undergraduate,No change in desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,0
R_1O6PqrB9a1LCUZ6,Undergraduate,Increased desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,0
R_7nT4khR9GDLrZaw,Undergraduate,Increased desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,0
R_5LqGgfv7GKtllMp,Undergraduate,No change in desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,0
R_3mxG2gGJRuYiblZ,Undergraduate,Decreased desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,1
R_6hAQdqwiZ5AY4pd,Undergraduate,Significantly decreased desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,1
R_75QoQmJLjSeKB7D,Undergraduate,No change in desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,0
R_3GIF6g0IhLBdas4,Undergraduate,No change in desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,0
R_55uOF5sZkrthVU5,Undergraduate,No change in desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,0
R_6pJrCUMU4g1tQXa,Undergraduate,No change in desire,No,,,,Undergraduate,No,Planned enrollment status not explicitly asked,0
R_3cA89eeyxonaV5n,Undergraduate,Decreased desire,Yes,,,,Undergraduate,Yes,Planned enrollment status not explicitly asked,1
R_6PsaCd2qTRAl3Z7,,,,,,,,,Missing,
